entity,security_code,metric,fiscal_year,period_start,period_end,value,unit,currency,scope,status,source_id,locator
エコム,6225,trade_receivable_bills,2025,2024-08-01,2025-07-31,154581,千円,JPY,単体,実績,S2,PDF p.6 / 受取手形
エコム,6225,trade_receivable_bills,2026,2025-08-01,2026-07-31,63370,千円,JPY,単体,実績,S2,PDF p.6 / 受取手形
エコム,6225,trade_receivable_accounts,2025,2024-08-01,2025-07-31,766531,千円,JPY,単体,実績,S2,PDF p.6 / 売掛金
エコム,6225,trade_receivable_accounts,2026,2025-08-01,2026-07-31,763183,千円,JPY,単体,実績,S2,PDF p.6 / 売掛金
エコム,6225,trade_payable_bills,2025,2024-08-01,2025-07-31,238872,千円,JPY,単体,実績,S2,PDF p.7 / 支払手形
エコム,6225,trade_payable_bills,2026,2025-08-01,2026-07-31,0,千円,JPY,単体,実績,S2,PDF p.7 / 支払手形
エコム,6225,trade_payable_accounts,2025,2024-08-01,2025-07-31,109423,千円,JPY,単体,実績,S2,PDF p.7 / 買掛金
エコム,6225,trade_payable_accounts,2026,2025-08-01,2026-07-31,131210,千円,JPY,単体,実績,S2,PDF p.7 / 買掛金
エコム,6225,liabilities,2025,2024-08-01,2025-07-31,771042,千円,JPY,単体,実績,S2,PDF p.7 / 負債合計
エコム,6225,liabilities,2026,2025-08-01,2026-07-31,579577,千円,JPY,単体,実績,S2,PDF p.7 / 負債合計
エコム,6225,equity,2025,2024-08-01,2025-07-31,3279144,千円,JPY,単体,実績,S2,PDF p.7 / 純資産合計
エコム,6225,equity,2026,2025-08-01,2026-07-31,3587565,千円,JPY,単体,実績,S2,PDF p.7 / 純資産合計
エコム,6225,current_liabilities,2025,2024-08-01,2025-07-31,548682,千円,JPY,単体,実績,S2,PDF p.7 / 流動負債合計
エコム,6225,current_liabilities,2026,2025-08-01,2026-07-31,343325,千円,JPY,単体,実績,S2,PDF p.7 / 流動負債合計
エコム,6225,depreciation,2025,2024-08-01,2025-07-31,64358,千円,JPY,単体,実績,S2,PDF p.11 / 減価償却費
エコム,6225,depreciation,2026,2025-08-01,2026-07-31,60004,千円,JPY,単体,実績,S2,PDF p.11 / 減価償却費
エコム,6225,goodwill_amortisation,2025,2024-08-01,2025-07-31,5000,千円,JPY,単体,実績,S2,PDF p.11 / のれん償却額
エコム,6225,goodwill_amortisation,2026,2025-08-01,2026-07-31,5000,千円,JPY,単体,実績,S2,PDF p.11 / のれん償却額
エコム,6225,receivables_cash_change,2025,2024-08-01,2025-07-31,41060,千円,JPY,単体,実績,S2,PDF p.11 / 売上債権の増減額（△は増加）
エコム,6225,receivables_cash_change,2026,2025-08-01,2026-07-31,94193,千円,JPY,単体,実績,S2,PDF p.11 / 売上債権の増減額（△は増加）
エコム,6225,inventory_cash_change,2025,2024-08-01,2025-07-31,188762,千円,JPY,単体,実績,S2,PDF p.11 / 棚卸資産の増減額（△は増加）
エコム,6225,inventory_cash_change,2026,2025-08-01,2026-07-31,-132769,千円,JPY,単体,実績,S2,PDF p.11 / 棚卸資産の増減額（△は増加）
エコム,6225,payables_cash_change,2025,2024-08-01,2025-07-31,-65679,千円,JPY,単体,実績,S2,PDF p.11 / 仕入債務の増減額（△は減少）
エコム,6225,payables_cash_change,2026,2025-08-01,2026-07-31,-217086,千円,JPY,単体,実績,S2,PDF p.11 / 仕入債務の増減額（△は減少）
エコム,6225,income_tax_paid,2025,2024-08-01,2025-07-31,-88223,千円,JPY,単体,実績,S2,PDF p.11 / 法人税等の支払額
エコム,6225,income_tax_paid,2026,2025-08-01,2026-07-31,-156998,千円,JPY,単体,実績,S2,PDF p.11 / 法人税等の支払額
エコム,6225,industrial_revenue,2025,2024-08-01,2025-07-31,1612764,千円,JPY,単体,実績,S2,PDF p.13 / セグメント情報
エコム,6225,maintenance_revenue,2025,2024-08-01,2025-07-31,1027187,千円,JPY,単体,実績,S2,PDF p.13 / セグメント情報
エコム,6225,industrial_profit,2025,2024-08-01,2025-07-31,288193,千円,JPY,単体,実績,S2,PDF p.13 / セグメント情報
エコム,6225,maintenance_profit,2025,2024-08-01,2025-07-31,259496,千円,JPY,単体,実績,S2,PDF p.13 / セグメント情報
エコム,6225,segment_adjustment,2025,2024-08-01,2025-07-31,-173639,千円,JPY,単体,実績,S2,PDF p.13 / セグメント情報
エコム,6225,industrial_revenue,2026,2025-08-01,2026-07-31,1605822,千円,JPY,単体,実績,S2,PDF p.13 / セグメント情報
エコム,6225,maintenance_revenue,2026,2025-08-01,2026-07-31,1058207,千円,JPY,単体,実績,S2,PDF p.13 / セグメント情報
エコム,6225,industrial_profit,2026,2025-08-01,2026-07-31,416393,千円,JPY,単体,実績,S2,PDF p.13 / セグメント情報
エコム,6225,maintenance_profit,2026,2025-08-01,2026-07-31,280755,千円,JPY,単体,実績,S2,PDF p.13 / セグメント情報
エコム,6225,segment_adjustment,2026,2025-08-01,2026-07-31,-172580,千円,JPY,単体,実績,S2,PDF p.13 / セグメント情報
エコム,6225,industrial_orders,2023,2022-08-01,2023-07-31,1489,百万円,JPY,単体,実績,S3,PDF p.27（スライド26）/ 図を目視照合
エコム,6225,industrial_backlog,2023,2022-08-01,2023-07-31,1447,百万円,JPY,単体,実績,S3,PDF p.27（スライド26）/ 図を目視照合
エコム,6225,maintenance_orders,2023,2022-08-01,2023-07-31,657,百万円,JPY,単体,実績,S3,PDF p.27（スライド26）/ 図を目視照合
エコム,6225,maintenance_backlog,2023,2022-08-01,2023-07-31,162,百万円,JPY,単体,実績,S3,PDF p.27（スライド26）/ 図を目視照合
エコム,6225,industrial_orders,2024,2023-08-01,2024-07-31,1168,百万円,JPY,単体,実績,S3,PDF p.27（スライド26）/ 図を目視照合
エコム,6225,industrial_backlog,2024,2023-08-01,2024-07-31,1009,百万円,JPY,単体,実績,S3,PDF p.27（スライド26）/ 図を目視照合
エコム,6225,maintenance_orders,2024,2023-08-01,2024-07-31,885,百万円,JPY,単体,実績,S3,PDF p.27（スライド26）/ 図を目視照合
エコム,6225,maintenance_backlog,2024,2023-08-01,2024-07-31,188,百万円,JPY,単体,実績,S3,PDF p.27（スライド26）/ 図を目視照合
エコム,6225,industrial_orders,2025,2024-08-01,2025-07-31,1562,百万円,JPY,単体,実績,S3,PDF p.27（スライド26）/ 図を目視照合
